date,OBS_phour,NAM18_uwnd_avg,NAM18_vwnd_avg
2011-01-01,0.0,-4.308333333333334,0.425
2011-01-02,0.0,-3.3708333333333336,-0.4791666666666667
2011-01-03,0.0,-2.7875,-0.1374999999999999
2011-01-04,0.03,-0.2249999999999999,2.341666666666667
2011-01-05,1.46,-0.4166666666666667,8.320833333333333
2011-01-06,1.43,0.1791666666666666,5.845833333333334
2011-01-07,1.4,2.4541666666666666,3.3250000000000006
2011-01-08,0.63,4.666666666666667,-0.9166666666666664
2011-01-09,2.16,2.3666666666666667,-0.8625000000000002
2011-01-10,0.03,-3.270833333333333,1.3666666666666665
2011-01-11,0.08,-6.05,2.5791666666666666
2011-01-12,2.53,2.845833333333333,7.941666666666666
2011-01-13,2.04,2.75,9.066666666666666
2011-01-14,0.45,3.029166666666667,8.758333333333333
2011-01-15,3.0,1.2083333333333333,5.820833333333333
2011-01-16,4.63,4.8125,9.108333333333334
2011-01-17,0.89,6.2875000000000005,3.0875
2011-01-18,0.58,1.2291666666666667,-0.1166666666666666
2011-01-19,0.0,-0.9583333333333334,-2.154166666666667
2011-01-20,0.42,0.0083333333333333,3.3166666666666664
2011-01-21,2.67,3.270833333333333,4.025
2011-01-22,0.0,0.1125,-0.3791666666666666
2011-01-23,0.01,-0.1666666666666666,0.9666666666666668
2011-01-24,0.22,0.6083333333333333,2.7458333333333336
2011-01-25,0.17,0.3666666666666667,0.3166666666666666
2011-01-26,0.0,-1.3416666666666668,-0.2208333333333333
2011-01-27,0.0,-1.1583333333333334,0.9791666666666666
2011-01-28,0.39,2.029166666666667,7.870833333333334
2011-01-29,0.41,1.4916666666666665,3.720833333333333
2011-01-30,0.0,-0.1541666666666666,0.3833333333333333
2011-01-31,0.37,-0.6375,-9.251858538542969e-18
2011-02-01,0.0,-5.5875,1.0583333333333331
2011-02-02,0.0,-3.358333333333333,0.5458333333333334
2011-02-03,0.01,-0.4625,3.158333333333333
2011-02-04,0.7,2.954166666666667,4.5125
2011-02-05,0.11,1.0166666666666668,1.05
2011-02-06,0.89,2.5583333333333336,6.041666666666668
2011-02-07,0.17,7.375,-3.0875
2011-02-08,0.14,1.3916666666666668,-4.045833333333333
2011-02-09,0.0,-0.6916666666666668,-1.3916666666666668
2011-02-10,0.0,-1.2458333333333331,-1.3291666666666666
2011-02-11,0.0,-0.9416666666666664,3.6625
